"user_id","budget","vis","index","block","response","trial"
"1fd3fed4","6000","ensembles",1,"single",1,2
"1fd3fed4","6000","ensembles",2,"single",0,8
"1fd3fed4","6000","ensembles",3,"single",0,15
"1fd3fed4","6000","ensembles",4,"single",0,101
"1fd3fed4","6000","ensembles",5,"single",0,9
"1fd3fed4","6000","ensembles",6,"single",0,14
"1fd3fed4","6000","ensembles",7,"single",0,11
"1fd3fed4","6000","ensembles",8,"single",1,4
"1fd3fed4","6000","ensembles",9,"single",1,3
"1fd3fed4","6000","ensembles",10,"single",0,12
"1fd3fed4","6000","ensembles",11,"single",1,102
"1fd3fed4","6000","ensembles",12,"single",0,17
"1fd3fed4","6000","ensembles",13,"single",0,16
"1fd3fed4","6000","ensembles",14,"single",1,1
"1fd3fed4","6000","ensembles",15,"single",1,6
"1fd3fed4","6000","ensembles",16,"single",0,18
"1fd3fed4","6000","ensembles",17,"single",0,13
"1fd3fed4","6000","ensembles",18,"single",1,5
"1fd3fed4","6000","ensembles",19,"single",1,7
"1fd3fed4","6000","ensembles",20,"single",0,10
"1fd3fed4","6000","ensembles",1,"multiple",0,2
"1fd3fed4","6000","ensembles",2,"multiple",0,12
"1fd3fed4","6000","ensembles",3,"multiple",0,9
"1fd3fed4","6000","ensembles",4,"multiple",1,102
"1fd3fed4","6000","ensembles",5,"multiple",0,11
"1fd3fed4","6000","ensembles",6,"multiple",0,10
"1fd3fed4","6000","ensembles",7,"multiple",1,1
"1fd3fed4","6000","ensembles",8,"multiple",1,4
"1fd3fed4","6000","ensembles",9,"multiple",0,6
"1fd3fed4","6000","ensembles",10,"multiple",0,101
"1fd3fed4","6000","ensembles",11,"multiple",0,8
"1fd3fed4","6000","ensembles",12,"multiple",1,3
"1fd3fed4","6000","ensembles",13,"multiple",0,5
"1fd3fed4","6000","ensembles",14,"multiple",0,7
"70aac4dd","11000","ensembles",1,"single",1,1
"70aac4dd","11000","ensembles",2,"single",1,2
"70aac4dd","11000","ensembles",3,"single",0,9
"70aac4dd","11000","ensembles",4,"single",0,14
"70aac4dd","11000","ensembles",5,"single",0,8
"70aac4dd","11000","ensembles",6,"single",0,11
"70aac4dd","11000","ensembles",7,"single",0,15
"70aac4dd","11000","ensembles",8,"single",0,101
"70aac4dd","11000","ensembles",9,"single",0,13
"70aac4dd","11000","ensembles",10,"single",0,18
"70aac4dd","11000","ensembles",11,"single",0,16
"70aac4dd","11000","ensembles",12,"single",1,4
"70aac4dd","11000","ensembles",13,"single",0,12
"70aac4dd","11000","ensembles",14,"single",1,102
"70aac4dd","11000","ensembles",15,"single",0,10
"70aac4dd","11000","ensembles",16,"single",0,17
"70aac4dd","11000","ensembles",17,"single",1,5
"70aac4dd","11000","ensembles",18,"single",1,6
"70aac4dd","11000","ensembles",19,"single",1,3
"70aac4dd","11000","ensembles",20,"single",1,7
"70aac4dd","11000","ensembles",1,"multiple",0,1
"70aac4dd","11000","ensembles",2,"multiple",0,12
"70aac4dd","11000","ensembles",3,"multiple",1,102
"70aac4dd","11000","ensembles",4,"multiple",0,10
"70aac4dd","11000","ensembles",5,"multiple",0,9
"70aac4dd","11000","ensembles",6,"multiple",0,8
"70aac4dd","11000","ensembles",7,"multiple",1,7
"70aac4dd","11000","ensembles",8,"multiple",0,6
"70aac4dd","11000","ensembles",9,"multiple",0,101
"70aac4dd","11000","ensembles",10,"multiple",0,11
"70aac4dd","11000","ensembles",11,"multiple",1,3
"70aac4dd","11000","ensembles",12,"multiple",1,4
"70aac4dd","11000","ensembles",13,"multiple",1,2
"70aac4dd","11000","ensembles",14,"multiple",1,5
"f3e25d87","5000","ensembles",1,"single",0,12
"f3e25d87","5000","ensembles",2,"single",0,13
"f3e25d87","5000","ensembles",3,"single",0,17
"f3e25d87","5000","ensembles",4,"single",1,2
"f3e25d87","5000","ensembles",5,"single",0,11
"f3e25d87","5000","ensembles",6,"single",0,14
"f3e25d87","5000","ensembles",7,"single",0,15
"f3e25d87","5000","ensembles",8,"single",0,18
"f3e25d87","5000","ensembles",9,"single",1,4
"f3e25d87","5000","ensembles",10,"single",1,3
"f3e25d87","5000","ensembles",11,"single",0,101
"f3e25d87","5000","ensembles",12,"single",1,1
"f3e25d87","5000","ensembles",13,"single",0,10
"f3e25d87","5000","ensembles",14,"single",1,102
"f3e25d87","5000","ensembles",15,"single",1,7
"f3e25d87","5000","ensembles",16,"single",1,5
